time,infector,infectee,building_idx,floor,pos_x,pos_y,dist
0,1,2,0.0,0.0,4.0,13.0,2.0
1,2,3,0.0,0.0,4.591040413322679,12.70134130705803,0.472634532287255
1,2,4,0.0,0.0,4.958851077208406,12.195066606621465,1.0822116595912334
28,1,5,0.0,0.0,2.1748238072757404,3.053955420562649,1.973025357533993
33,1,8,0.0,0.0,5.565015801254324,3.299745343277015,1.7838312247224948
33,1,9,0.0,0.0,5.788678387072638,3.96473261788661,1.798851276294959
34,8,6,0.0,0.0,4.782252350815501,2.0003069579647934,1.5637176668283879
34,8,7,0.0,0.0,5.594453845123274,2.439015742572771,0.9599198440372891
34,8,10,0.0,0.0,7.35702462412145,3.672193083553468,1.8853786331835702
53,1,11,0.0,0.0,11.125493940146953,2.170194201929351,1.7718083053365135
54,11,12,0.0,0.0,12.368620246714402,3.120943599928474,1.5023425548947373
55,1,13,0.0,0.0,12.33696347092174,3.939524893748256,1.7917082915202205
55,1,14,0.0,0.0,12.404849790788145,3.795814969813944,1.828930012236152
55,12,15,0.0,0.0,13.66349124011272,2.92043643272146,1.3694979690417834
74,1,16,0.0,0.0,17.427360123028222,2.838762035675811,1.9209632306531061
